Rom	Game Title (Optimized)	Recommended Emulator	Pi 3B+ (OC 1700)	FPS	Visuals	Audio	Controls	Notes
arkatour	Tournament Arkanoid	lr-fbneo	o	o	o	o	sp	
arknoid2	Arkanoid Revenge of Doh	lr-fbneo	o	o	o	o	o	
arkretrn	Arkanoid Returns	lr-fbneo	o	o	o	o	o	Check mouse controls
arlingtn	Arlington Horse Racing	lr-mame	o	o	o	o	o	
armedf	Armed Formation	lr-fbneo	o	o	o	o	o	
armora	Armor Attack	lr-mame	o	o	o	o	o	Download/install samples
armorcar	Armored Car	lr-fbneo	o	o	o	o	o	
armwar	Armored Warriors	lr-fbneo	o	o	o	o	o	Clone: (pgear)
armwrest	Arm Wrestling	lr-fbneo	o	o	o	o	o	
ashurau	Ashura Blaster	lr-fbneo	o	o	o	o	o	
aso	ASO Armored Scrum Object	lr-fbneo	o	o	o	o	o	Clone: "Arian Mission" (arian)
assault	Assult	lr-fbneo	o	o	o	o	o	Add triggers to fire (Button 1).
assaultj	Assult	lr-fbneo	o	o	o	o	o	Add triggers to fire (Button 1).
assaultp	Assult Plus	lr-fbneo	o	o	o	o	o	Add triggers to fire (Button 1).
astdelux	Asteroids Deluxe	lr-mame	o	o	o	o	o	Best for color, adjustable brightness/contrast and vector options
asterix	Asterix	lr-fbneo	o	o	o	o	o	
asteroid	Asteroids	lr-mame	o	o	o	o	o	Clone: hyperspc, meteorho, meteorite, meteorts, spcrocks
astorm	Alien Storm	lr-fbneo	o	o	o	o	o	
astrass	Astra Superstars	advmame	x	o	x	o	o	Sluggish, but playable; weird text issues
astrob	Astro Blaster	lr-mame	o	o	o	o	o	No samples required with lr-mame (need correct ROMset)
astrof	Astro Fighter	lr-mame	o	o	o	o	o	
astropal	Astropal	lr-mame2016	o	o	o	o	o	Smoother/ more consistant audio with 2016 instead of lr-mame
astyanax	Astyanax, The	lr-fbneo	o	o	o	o	o	Clone of Lord of King, The (lordofk)
asuka	Asuka & Asuka	lr-fbneo	o	o	o	o	o	
asurabld	Asura Blade	lr-fbneo	o	o	o	o	o	
asurabus	Asura Buster	lr-fbneo	o	o	o	o	o	
asylum	[Proto] Asylum	lr-mame	o	o	o	o	o	
atarifb	Atari Football (2 Players)	lr-mame	o	o	o	o	o	
atarifb4	Atari Football (4 Players)	lr-mame	o	o	o	o	o	
ataxx	Ataxx	lr-mame	o	o	o	o	o	
atehate	[Quiz] Athena no Hatena?	lr-fbneo	o	o	o	o	o	Japanese game/quiz
atetris	Tetris (Atari)	lr-fbneo	o	o	o	o	o	
athena	Athena	lr-fbneo	o	o	o	o	o	Clone: (sathena)
atlantis	Battle of Atlantis	lr-fbneo	o	o	o	o	o	
atlantol	Atlant Olimpic	lr-mame	o	o	o	o	o	Track & Field with modified graphics and voice
atomboy	Atomic Boy	lr-fbneo	o	o	o	o	o	Parent: Wily Tower (wilytowr)
atomicp	Atomic Point (Korea)	lr-fbneo	o	o	o	o	o	
attckufo	Attack UFO	lr-mame	o	o	o	o	o	
aurail	Aurail	lr-fbneo	o	o	o	o	o	
avalnche	Avalanche	lr-mame	o	o	o	o	o	set works with any MAME emulator!
avengers	Avengers	lr-fbneo	o	o	o	o	o	Clone: (buraiken)
avengrgs	Avengers in Galactic Storm	lr-fbneo	o	o	o	o	o	
avsp	Alien vs. Predator	lr-fbneo	o	o	o	o	o	
avspirit	Avenging Spirit	lr-fbneo	o	o	o	o	o	Clone of Phantasm (phantasm)(monkelf)
aztarac	Aztarac	lr-mame	o	o	o	o	o	Best for adjustable brightness/contrast and vector options
azurian	Azurian Attack	lr-fbneo	o	o	o	o	o	
b2b	Bang² Busters	lr-fbneo	o	o	o	o	o	NEO-GEO
backfire	Backfire!	lr-fbneo	o	o	o	o	o	
backfirt	Back Fire	lr-fbneo	o	o	o	o	o	
badapple	[Demo] Bad Apple	lr-fbneo	o	o	o	o	o	
baddudes	Bad Dudes vs. Dragonninja	lr-fbneo	o	o	o	o	o	Clone: Dragonninja (drgninja)
badlands	Badlands	lr-fbneo	o	o	o	o	o	
bagman	Bagman	lr-fbneo	o	o	o	o	o	
bakatono	Bakatonosama Mahjong Manyuuki	lr-fbneo	o	o	o	o	o	NEO-GEO
bakubaku	Baku Baku Animal	advmame	o	o	o	-	o	No audio with advmame, but best gameplay speed
bakubrkr	Bakuretsu Breaker	lr-fbneo	o	o	o	o	o	
bakutotu	Baraduke II	lr-fbneo	o	o	o	o	o	
balcube	Bal Cube	lr-fbneo	o	o	o	o	o	
ballbomb	Balloon Bomber	lr-mame2016	o	o	o	o	o	lr-mame has audio issues.
ballboy	Ball Boy	lr-fbneo	o	o	o	o	o	
ballbros	Balloon Brothers	lr-fbneo	o	o	o	o	o	
balonfgt	Vs. Balloon Fight	lr-mame	o	o	o	o	o	Dual-screen
baluba	Baluba-Louk No Densetsu	lr-fbneo	o	o	o	o	o	
banbam	Banbam	lr-fbneo	o	o	o	o	o	Clone: (pettanp)
bang	Bang!	lr-fbneo	o	o	o	o	lg	Lightgun/ Mouse favored
bangball	Bang Bang Ball	lr-fbneo	o	o	o	o	o	
bangbead	Bang Bead	lr-fbneo	o	o	o	o	o	NEO-GEO
bankp	Bank Panic	lr-fbneo	o	o	o	o	o	
barricad	Barricade	lr-mame	o	o	o	o	o	
barrier	Barrier	lr-mame	o	o	o	o	o	
baryon	Baryon	lr-fbneo	o	o	o	o	o	
basebal2	Baseball Season II	lr-mame	o	o	o	o	!	Need to configure controls
batcir	Battle Circuit	lr-fbneo	o	o	o	o	o	
batlbubl	Battle Bubble	lr-fbneo	o	o	o	o	o	
batman	Batman	lr-fbneo	o	o	o	o	o	
batrider	Armed Police Batrider	lr-fbneo	o	o	o	o	o	
batsugun	Batsugun	lr-fbneo	o	o	o	o	o	
batsugunsp	Batsugun Special Ver.	lr-fbneo	o	o	o	o	o	
battlane	Battle Lane! Vol. 5	lr-fbneo	o	o	o	o	o	
battlcry	Battlecry	lr-mame2016	o	o	o	o	o	Audio incorrect with lr-mame
battlera	Battle Rangers	lr-mame2016	o	o	o	o	o	
battlex	Battle Cross	lr-fbneo	o	o	o	o	o	Accurate colors fixed
battlnts	Battlantis	lr-fbneo	o	o	o	o	o	
battroad	Battle-Road, The	lr-fbneo	o	o	o	o	o	
bayroute	Bay Route	lr-fbneo	o	o	o	o	o	
bbakraid	Battle Bakraid	lr-fbneo	o	o	o	o	o	
bballs	Bouncing Balls	lr-fbneo	o	o	o	o	o	
bbboxing	Best Bout Boxing	lr-mame2016	x	o	o	o	o	
bbmanw	Bomber Man World	lr-fbneo	o	o	o	o	o	Clone: (newapunk)
bbonk	Bigfoot Bonkers	lr-mame	o	o	o	o	o	
bbros	Buster Bros.	lr-fbneo	o	o	o	o	o	Clone: (pompingw) (pang)
bbusters	Beast Busters	lr-fbneo	o	o	o	o	lg	Optimal for lightgun / Mouse control
bchopper	Battle Chopper	lr-fbneo	o	o	o	o	o	Clone: Mr Heli (mrheli)
bcrusher	Bone Crusher	lr-fbneo	o	o	o	o	o	
bcruzm12	Battle Cruiser M-12	lr-fbneo	o	o	o	o	o	
bcstry	B.C. Story	lr-fbneo	o	o	o	o	o	
beaminv	Beam Invader	lr-mame	o	o	o	x	o	
beast	Shadow of the Beast (Demo)	lr-fbneo	o	o	o	o	o	
beastrzr	Beastorizer	lr-mame2016	!	o	o	o	o	Set CPU to 70 for 60fps and no serious speed side-effects.
beathead	[Proto] Beathead	lr-mame	o	o	o	o	o	
beezer	Beezer	lr-mame	o	o	o	o	o	
benberob	Ben Bero Beh	lr-mame2016	o	o	-	o	o	Imperfect colors/video
berabohm	Beraboh Man	lr-fbneo	o	o	o	o	o	
berenstn	Berenstain Bears	lr-mame	o	o	o	o	o	Terrible game...
berlwall	Berlin Wall, The	lr-fbneo	o	o	o	o	o	
bermudat	Bermuda Triangle	lr-fbneo	o	o	o	o	o	
berzerk	Berzerk	lr-fbneo	o	o	o	o	o	
bestbest	Best of Best	lr-fbneo	o	o	o	o	o	Also works with MAME 2010
bestri	Bestri (Korea)	lr-fbneo	o	o	o	o	o	
bgaregga	Battle Garegga	lr-fbneo	o	o	o	o	o	Raizing Shooter
bigbucks	Big Bucks	lr-fbneo	o	o	o	o	o	3 minute "question shuffle" each launch...
bigevglf	Big Event Golf	lr-mame	o	o	o	o	o	
bigkarnk	Big Karnak	lr-fbneo	o	o	o	o	o	
bigprowr	Big Pro Wrestling, The	lr-fbneo	o	o	o	o	o	Clone: (tagteam) Works with any MAME emulator
bigrun	Big Run	lr-mame	o	o	x	o	o	Culling issues w/all MAME versions; Locked 30fps
bigstrik	Big Striker	lr-fbneo	o	o	o	o	o	Bootlegs (Best Leauge) do not appear here
bigtwin	[Adult] Big Twin	lr-fbneo	o	o	o	o	o	
bijokkog	[Adult] Bijokko Gakuen	lr-mame	o	o	o	o	kb	
bijokkoy	[Adult] Bijokko Yume Monogatari	lr-mame	o	o	o	o	kb	
bikkuric	Bikkuri Card	lr-fbneo	o	o	o	o	o	
bilyard	Billiard (Russia)	lr-mame	o	o	o	o	o	
bioatack	Bio-Attack	lr-fbneo	o	o	o	o	o	
biomtoy	Biomechanical Toy	lr-fbneo	o	o	o	o	o	Clone (bioplayc)
bionicc	Bionic Commando	lr-fbneo	o	o	o	o	o	Clone: Top Secret
bioship	Bio-Ship Paladin	lr-fbneo	o	o	o	o	o	Clone: (sbsgomo)
birdiy	Birdiy	lr-fbneo	o	o	o	o	o	
birdtry	Birdy Try	lr-fbneo	o	o	o	o	o	
bishi	Bishi Bashi Championship Mini Game Senshuken	lr-fbneo	o	o	x	o	o	Title screen visual issues on all emulators. Otherwise good.
bjourney	Blue's Journey	lr-fbneo	o	o	o	o	o	NEO-GEO
bjtwin	[Adult] Bomb Jack Twin	lr-fbneo	o	o	o	o	o	
bjtwinp	Bomberman Twin (Bootleg: Adult)	lr-fbneo	o	o	o	o	o	Images of women appear after each bonus stage
bking	Birdie King	lr-mame	o	o	o	o	tb	Trackball needed
bking2	Birdie King 2	lr-mame	o	o	o	o	tb	Trackball needed
bking3	Birdie King 3	lr-mame	o	o	o	o	tb	Trackball needed
blackt96	Black Touch '96	lr-fbneo	o	o	o	o	o	
bladestl	Blades of Steel	lr-fbneo	o	o	o	o	o	
blandia	Blandia	lr-fbneo	o	o	o	o	o	
blasted	Blasted	lr-mame	o	o	o	o	o	Locked at 30fps
blaster	Blaster	lr-fbneo	o	o	o	o	o	
blasto	Blasto	lr-fbneo	o	o	o	o	o	
blastoff	Blast Off	lr-fbneo	o	o	o	o	o	
blazeon	Blaze On	lr-fbneo	o	o	o	o	o	
blazer	Blazer	lr-fbneo	o	o	o	o	o	
blazlaz	Blazing Lazers	lr-mame	o	o	o	o	o	
blazstar	Blazing Star	lr-fbneo	o	o	o	o	o	NEO-GEO
blkheart	Black Heart	lr-fbneo	o	o	o	o	o	
blkhole	Black Hole	lr-fbneo	o	o	o	o	o	
blkpnthr	Black Panther	lr-fbneo	o	o	o	o	o	
blktiger	Black Tiger	lr-fbneo	o	o	o	o	o	Clone: Black Dragon (blkdrgon)
blktouch	Black Touch (Korea)	lr-mame	o	o	o	o	o	
blmbycar	Blomby Car	lr-fbneo	o	o	o	o	o	
block	Block Block	lr-fbneo	o	o	o	o	o	57.7fps
blockade	Blockade	lr-fbneo	o	o	o	o	o	2 players required
blockcar	Block Carnival	lr-fbneo	o	o	o	o	o	
blocken	Blocken	lr-fbneo	o	o	o	o	o	
blockgal	[Adult] Block Gal	lr-fbneo	o	o	o	o	o	
blockhl	Block Hole	lr-fbneo	o	o	o	o	o	Clone: Quarth
blockout	Block Out	lr-fbneo	o	o	o	o	o	
bloodbro	Blood Brothers	lr-fbneo	o	o	o	o	o	
bloodstm	Blood Storm	lr-fbneo	o	o	o	o	o	
bloodwar	Blood Warrior	lr-fbneo	o	o	o	o	o	Clone: (oedfight)
bloxeedc	Bloxeed	lr-mame2016	o	o	o	o	o	Using the "c" version instead of "bloxeed" which is in Japanese
blstroid	Blasteroids	lr-fbneo	o	o	o	o	o	
blswhstl	Bells & Whistles	lr-fbneo	o	o	o	o	o	Clone: (detatwin)
bluehawk	Blue Hawk	lr-fbneo	o	o	o	o	o	
blueprnt	Blue Print	lr-fbneo	o	o	o	o	o	
blueshrk	Blue Shark	lr-mame	o	o	o	o	tb	Suggest using trackball/ mouse for periscope
blzntrnd	Blazing Tornado	lr-fbneo	o	o	o	o	o	
bmaster	Blade Master	lr-fbneo	o	o	o	o	o	Clone: (crossbld)
bmcbowl	Konkyuu No Hoshi	lr-mame2016	o	o	o	o	o	Gambling disguised as bowling
bnglngby	Vs. Raid On Bungeling Bay	lr-mame2016	o	o	o	o	o	
bnj	Bump 'N' Jump	lr-fbneo	o	o	o	o	o	Parent: (brubber). DECO Cassete version removed from this list
bnstars	Vs. Brand-new Stars	lr-mame2016	x	o	o	o	o	It's a mahjong game...
bnzabros	Bonanza Bros.	lr-fbneo	o	o	o	o	o	
bodyslam	Body Slam	lr-fbneo	o	o	o	o	o	Clone: (dumpmtmt)
bogeyman	Bogey Manor	lr-fbneo	o	o	o	o	o	
boggy84	Boggy '84	lr-fbneo	o	o	o	o	o	
bombbee	Bomb Bee	lr-fbneo	o	o	o	o	o	
bombjack	Bomb Jack	lr-fbneo	o	o	o	o	o	
bombkick	Bomb Kick	lr-fbneo	o	o	o	o	o	
bongo	Bongo	lr-fbneo	o	o	o	o	o	
bonkadv	Bonk's Adventure	lr-fbneo	o	o	o	o	o	
bonzeadv	Bonze Adventure	lr-fbneo	o	o	o	o	o	Clone (jigkmgri)
boogwing	Boogie Wings	lr-fbneo	o	o	o	o	o	Parent (ragtime)
boomrang	Boomer Rang'r	lr-fbneo	o	o	o	o	o	
boonggab	Boong-Ga Boong-Ga	lr-fbneo	o	o	o	o	o	
boothill	Boot Hill	lr-mame	o	o	o	o	o	
borench	Borench	lr-mame2016	o	o	o	o	o	
borntofi	Born to Fight	lr-mame	o	o	o	o	lg	
bosco	Bosconian	lr-mame	o	o	o	o	o	
botanic	Botanic (French)	lr-fbneo	o	o	o	o	o	
bottom9	Bottom of the Ninth	lr-fbneo	o	o	o	o	o	Clone: (mstadium)
bouldash	Boulder Dash	lr-fbneo	o	o	o	o	o	
bounty	Bounty, The	lr-fbneo	o	o	o	o	o	
bowl3d	3-D Bowling!	lr-mame	o	o	o	x	o	No existing samples (see here)
bowler	Bowling Alley	lr-mame	o	o	o	o	tb	No audio. Probably never was.
bowlrama	Bowl-O-Rama	lr-fbneo	o	o	o	o	tb	works fine with analog, but better with trackball
boxer	[Proto] Atari Boxer	lr-mame	o	o	o	o	o	
boxingb	Boxing Bugs	lr-mame	o	o	o	x	sp	No working samples yet. See here
boxyboy	Boxy Boy	lr-fbneo	o	o	o	o	o	Clone: (soukobdx)
bradley	Bradley Trainer	lr-mame	o	o	o	o	o	
brain	Brain	lr-fbneo	o	o	o	o	o	
brapboys	B.Rap Boys	lr-fbneo	o	o	o	o	o	
brdrlinb	Borderline	lr-mame	o	o	o	o	o	Download/install samples
breakers	Breakers	lr-fbneo	o	o	o	o	o	NEO-GEO
breakrev	Breakers Revenge	lr-fbneo	o	o	o	o	o	NEO-GEO
breywood	Breywood	lr-fbneo	o	o	o	o	o	Clone: (shackled)
brickzn	Brick Zone	lr-mame	o	o	o	o	o	
brival	Burning Rival	lr-mame	x	o	o	o	o	
brkthru	BreakThru	lr-fbneo	o	o	o	o	o	Clone: (forcebrk)
brubber	Burnin' Rubber	lr-fbneo		o	o	o	o	Clone: (bnj)
brutforc	Brute Force	lr-mame	o	o	o	o	o	
brvblade	Brave Blade	lr-mame2016	!	o	o	x	o	Raizing shooter; Use CPU 75% to reduce audio issues. Some slowdown, but good.
bshark	Battle Shark	lr-fbneo	o	o	o	o	o	
bsktball	Atari Basketball	lr-mame	o	o	o	o	o	
bssoccer	Back Street Soccer	lr-fbneo	o	o	o	o	o	
bstars	Baseball Stars Professional	lr-fbneo	o	o	o	o	o	NEO-GEO
bstars2	Baseball Stars 2	lr-fbneo	o	o	o	o	o	NEO-GEO
btime	Burger Time	lr-fbneo	o	o	o	o	o	Clone: (chamburger)
btlecity	Vs. Battle City	lr-mame2016	o	o	o	o	o	
btlkroad	Battle K-Road	lr-fbneo	o	o	o	o	o	
btoads	Battletoads	lr-mame	o	o	o	o	o	
bubblem	Bubble Memories	lr-fbneo	o	o	o	o	o	
bubbles	Bubbles	lr-fbneo	o	o	o	o	o	
bubbletr	Bubble Trouble	lr-mame	?	o	o	o	lg	Golly Ghost 2
bubl2000	[Adult] Bubble 2000	lr-fbneo	o	o	o	o	o	Clone: (hotbubl)
bublbob2	Bubble Bobble II	lr-fbneo	o	o	o	o	o	
bublbobl	Bubble Bobble	lr-fbneo	o	o	o	o	o	
bublcave	Bubble Cave (Hack)	lr-fbneo	o	o	o	o	o	Hacked Bubble Bobble levels and title screen
bublpong	Bubble Pong Pong	lr-fbneo	o	o	o	o	o	Parent: (missb2)
bucaner	Pac-Man (Bootleg: Buccaneer)	lr-fbneo	o	o	o	o	o	
buccanrs	Buccaneers	lr-fbneo	o	o	o	o	o	
buckrog	Buck Rogers: Planet of Zoom	lr-fbneo	o	o	o	o	o	Clone: (zoom909)
bucky	Bucky O'Hare	lr-fbneo	o	o	o	o	o	
buggyboy	Buggy Boy (Cockpit)	lr-mame2016	!	o	o	o	o	Triple screen version
buggyboyjr	Buggy Boy Junior (Upright)	lr-mame2016	o	o	o	o	o	Single screen version
buggychl	Buggy Challenge	lr-fbneo	o	o	o	o	o	
bullet	Bullet	lr-fbneo	o	o	o	o	o	
bullfgt	Bullfight	lr-fbneo	o	o	o	o	o	Clone: (thetogyu)
bullfgtr	Bull Fighter	lr-mame	o	o	o	o	o	It's HOCKEY!
bullsdrt	Bulls Eye Darts	lr-mame	o	o	o	o	o	
burglarx	Burgler X	lr-fbneo	o	o	o	o	o	
burnforc	Burning Force	lr-fbneo	o	o	o	o	o	
